yr,b_abun,biomass,std,cnt
1989,732.152028,66.5592752727273,36.8736401327725,11
1990,2978.211522,124.09214675,159.115957063323,24
1991,4252.233034,202.487287333333,239.354067057247,21
1992,1632.52279,136.043565833333,193.325148386534,12
1993,3870.686836,133.471959862069,183.052913816858,29
1994,1547.117332,91.0069018823529,90.1072097689272,17
1995,1995.108991,124.6943119375,102.865572302464,16
1996,1497.385261,115.183481615385,131.125554007276,13
1997,940.237644,62.6825096,47.8073336960474,15
1998,1434.397565,95.6265043333333,116.410904239902,15
1999,1176.668643,78.4445762,85.4946784225596,15
2000,3373.903433,374.878159222222,554.058562882912,9
2001,2620.104571,174.673638066667,247.203178241231,15
2002,4150.112256,276.6741504,416.114111138528,15
2003,882.878766,67.9137512307692,60.1761904854073,13
2004,1947.731946,162.3109955,141.791116934942,12
2005,2473.641825,145.508342647059,113.86548782988,17
2006,1475.458492,92.21615575,79.2548522703932,16
2007,1435.246,110.403538461538,124.063949012105,13
2008,1951.684161,130.1122774,163.289963426386,15
2009,661.537073,55.1280894166667,42.1255468559036,12
2010,1030.372364,73.598026,78.2049303301627,14
2011,993.184018,82.7653348333333,110.55693122692,12
2012,885.475105,73.7895920833333,115.61721577948,12
2013,1758.06464,195.340515555556,214.349556058751,9
2014,1267.524992,126.7524992,119.114656199109,10
2015,4592.06057,459.206057,607.229947769742,10
2016,6541.541191,467.252942214286,810.715030682407,14
2017,9664.470062,805.372505166667,1500.50377591342,12
2018,2500.012762,250.0012762,318.721170709212,10
2019,217.282142,72.4273806666667,109.602696284752,3
