yr,p_abun,pennate,pen_std,pen_cnt,c_abun,centric,cen_std,cen_cnt
1989,147.850827,13.4409842727273,32.5830486059244,11,108.120044,9.82909490909091,17.619271611376,11
1990,482.088356,20.0870148333333,31.5143300905594,24,1594.589234,66.4412180833333,148.827223235105,24
1991,845.811352,40.2767310476191,76.2162341757132,21,2872.777223,136.798915380952,197.519567672596,21
1992,235.105239,19.59210325,37.3373697999184,12,952.184976,79.348748,154.040157946163,12
1993,338.949754,11.6879225517241,25.156247894509,29,2651.733525,91.4390870689655,161.512028033194,29
1994,387.019101,22.7658294705882,58.36379806442,17,649.106406,38.1827297647059,69.7119922752461,17
1995,376.468279,23.5292674375,37.0739565736975,16,701.916634,43.869789625,62.6272123452091,16
1996,698.456285,53.7274065384615,116.373637863242,13,436.506779,33.5774445384615,62.9219565435824,13
1997,76.06588,5.07105866666667,5.46566841167426,15,123.432285,8.228819,7.96802599238904,15
1998,136.242742,9.08284946666666,12.496092134429,15,973.042916,64.8695277333333,107.285910454326,15
1999,112.289151,7.4859434,7.00804440381204,15,328.618936,21.9079290666667,28.9013829043315,15
2000,217.497806,24.1664228888889,43.1430431143298,9,2110.174319,234.463813222222,310.619453504848,9
2001,1935.192112,129.012807466667,246.238101924315,15,396.128189,26.4085459333333,57.392758330748,15
2002,1871.648439,124.7765626,225.831719620911,15,1668.515687,111.234379133333,301.07123349694,15
2003,205.67039,15.8207992307692,23.5692657240273,13,365.024839,28.0788337692308,38.2860307482849,13
2004,198.163355,16.5136129166667,21.4853160694008,12,311.545715,25.9621429166667,27.047148904045,12
2005,225.653385,13.2737285294118,20.2703212106077,17,609.959811,35.8799888823529,65.6731682114403,17
2006,134.094379,8.3808986875,10.2696995161865,16,293.181005,18.3238128125,30.8564497185074,16
2007,105.708958,8.13145830769231,11.6625419008694,13,736.264728,56.6357483076923,76.2448539822063,13
2008,158.893379,10.5928919333333,16.8741459102727,15,1234.393984,82.2929322666667,150.255549147454,15
2009,58.327739,4.86064491666667,4.98109349267481,12,219.341154,18.2784295,27.0645340174784,12
2010,310.570203,22.1835859285714,58.0840758891437,14,214.708599,15.3363285,21.7137276111047,14
2011,110.74619,9.22884916666667,11.9220021273586,12,549.545087,45.7954239166667,100.373641121715,12
2012,105.120862,8.76007183333333,13.3125884131868,12,92.579419,7.71495158333333,11.8239198530867,12
2013,1478.779573,164.308841444444,219.471174872783,9,149.243047,16.5825607777778,33.9540730105873,9
2014,421.154677,42.1154677,50.9038882000358,10,574.199014,57.4199014,66.8666516543548,10
2015,1904.405302,190.4405302,404.039708771243,10,1589.259081,158.9259081,424.869802866813,10
2016,4121.567878,294.397705571429,807.195719537732,14,846.32084,60.4514885714286,162.994594889432,14
2017,7363.137393,920.392174125,1704.2589035811,8,934.524441,116.815555125,151.564700129173,8
