yr,a_abun,adinos,a_std,a_cnt,h_abun,hdinos,h_std,h_cnt
1989,54.97424,4.99765818181818,11.6175091839755,11,18.635152,1.69410472727273,1.2680101743289,11
1990,169.417536,7.059064,10.1065720238726,24,149.545872,6.231078,8.72053062081289,24
1991,64.285158,3.061198,4.05659808345511,21,140.443768,6.68779847619048,10.2171667735233,21
1992,113.087377,9.42394808333333,10.8627896051547,12,60.111341,5.00927841666667,4.19326537481917,12
1993,165.240279,5.69794065517241,6.74952746301328,29,183.632992,6.33217213793104,8.2659306126234,29
1994,105.407545,6.20044382352941,11.0932388756378,17,54.43865,3.20227352941176,3.66280731532905,17
1995,508.042899,31.7526811875,44.963585495937,16,70.280654,4.392540875,3.99516402796576,16
1996,30.062888,2.31252984615385,2.09388510672063,13,90.116126,6.93200969230769,10.4939342763952,13
1997,242.012651,16.1341767333333,37.879361490018,15,89.337032,5.95580213333333,7.63511709304758,15
1998,28.992797,1.93285313333333,2.90231110589615,15,55.569588,3.7046392,7.1273186296316,15
1999,343.057986,22.8705324,80.2618549699777,15,87.784091,5.85227273333333,8.07170613014744,15
2000,70.102074,7.78911933333333,15.3101069559566,9,87.967749,9.77419433333333,19.8292815824553,9
2001,82.726812,5.5151208,11.5506163391756,15,69.896935,4.65979566666667,7.74153348082358,15
2002,170.557635,11.370509,14.8899129527295,15,213.370285,14.2246856666667,30.9867761425869,15
2003,37.170519,2.85927069230769,2.45933870298716,13,85.949215,6.61147807692308,7.59895281212721,13
2004,1119.966235,93.3305195833333,137.000611551355,12,111.609603,9.30080025,9.96557103505827,12
2005,1358.978342,79.9399024705882,100.406201589031,17,1111.752466,65.3972038823529,161.623834076554,17
2006,766.178789,47.8861743125,57.1889744653834,16,297.855026,18.615939125,23.9186989085543,16
2007,198.736761,15.2874431538462,13.874799488475,13,176.789307,13.5991774615385,14.0449871940369,13
2008,251.796517,16.7864344666667,45.8891505877038,15,123.005997,8.2003998,8.24921759307405,15
2009,79.692583,6.64104858333333,13.9357721201772,12,110.066338,9.17219483333333,9.33249331906056,12
2010,62.823368,4.48738342857143,5.04145036430541,14,64.997243,4.64266021428571,3.80154897095519,14
2011,142.494556,11.8745463333333,13.6179845513005,12,99.969372,8.330781,6.99550287777852,12
2012,520.009941,43.33416175,119.813450437874,12,59.572617,4.96438475,5.00872400947521,12
2013,58.079219,6.45324655555556,8.3271227193602,9,37.777314,4.19747933333333,2.07218583726147,9
2014,139.706613,13.9706613,14.3808406213277,10,285.058169,28.5058169,38.854244330767,10
2015,1014.346976,101.4346976,259.025346094801,10,624.252122,62.4252122,121.365121107098,10
2016,1443.239073,103.088505214286,195.346744107222,14,388.194697,27.7281926428571,65.0066264775953,14
2017,680.849092,56.7374243333333,98.9088113064476,12,184.686395,15.3905329166667,11.8547736366562,12
2018,1348.469717,134.8469717,151.395197235979,10,321.767332,32.1767332,35.0867465784206,10
2019,13.924228,4.64140933333333,4.50476471913266,3,30.268672,10.0895573333333,10.9554174792933,3
